agent,condition,seed,grid,n_sensors,frac_sf7,frac_sf9,frac_sf11,frac_sf12,hhi,entropy,mean_sf_changes,mean_final_sf,ndr
DQN,100x100/N=10,200,100,10,0.0,0.3,0.4,0.3,0.33999999999999997,1.5709505944546684,0.0,10.7,100.0
Relational RL,100x100/N=10,200,100,10,0.0,0.1,0.9,0.0,0.8200000000000001,0.4689955935892812,84.0,10.8,100.0
TSP Oracle,100x100/N=10,200,100,10,0.1,0.4,0.5,0.0,0.42000000000000004,1.360964047443681,51.0,9.8,100.0
DQN,100x100/N=10,201,100,10,0.0,0.2,0.6,0.2,0.44000000000000006,1.3709505944546687,0.0,10.8,100.0
Relational RL,100x100/N=10,201,100,10,0.0,0.9,0.1,0.0,0.8200000000000001,0.4689955935892812,100.1,9.2,100.0
TSP Oracle,100x100/N=10,201,100,10,0.2,0.0,0.7,0.1,0.5399999999999999,1.1567796494470395,60.5,10.3,100.0
DQN,100x100/N=10,202,100,10,0.0,0.3,0.3,0.4,0.34,1.5709505944546684,0.0,10.8,100.0
Relational RL,100x100/N=10,202,100,10,0.0,0.5,0.5,0.0,0.5,1.0,77.6,10.0,100.0
TSP Oracle,100x100/N=10,202,100,10,0.1,0.4,0.5,0.0,0.42000000000000004,1.360964047443681,67.7,9.8,100.0
DQN,100x100/N=10,203,100,10,0.0,0.1,0.9,0.0,0.8200000000000001,0.4689955935892812,0.0,10.8,100.0
Relational RL,100x100/N=10,203,100,10,0.1,0.5,0.4,0.0,0.42000000000000004,1.360964047443681,89.8,9.6,100.0
TSP Oracle,100x100/N=10,203,100,10,0.1,0.6,0.3,0.0,0.45999999999999996,1.295461844238322,77.7,9.4,100.0
DQN,100x100/N=10,204,100,10,0.0,0.2,0.6,0.2,0.44000000000000006,1.3709505944546687,0.0,10.8,100.0
Relational RL,100x100/N=10,204,100,10,0.0,0.4,0.6,0.0,0.52,0.9709505944546686,88.6,10.2,100.0
TSP Oracle,100x100/N=10,204,100,10,0.1,0.3,0.6,0.0,0.45999999999999996,1.295461844238322,128.3,10.0,100.0
DQN,100x100/N=10,205,100,10,0.1,0.3,0.4,0.2,0.30000000000000004,1.8464393446710154,0.0,10.2,100.0
Relational RL,100x100/N=10,205,100,10,0.0,0.5,0.5,0.0,0.5,1.0,55.2,10.0,100.0
TSP Oracle,100x100/N=10,205,100,10,0.1,0.4,0.5,0.0,0.42000000000000004,1.360964047443681,97.6,9.8,100.0
DQN,100x100/N=10,206,100,10,0.0,0.1,0.8,0.1,0.6600000000000001,0.9219280948873623,0.0,10.9,100.0
Relational RL,100x100/N=10,206,100,10,0.0,0.3,0.7,0.0,0.58,0.8812908992306927,83.2,10.4,100.0
