model,grid_w,grid_h,n_sensors,start_pos_name,start_x,start_y,seed,total_reward,data_collected,ndr_pct,battery_pct,energy_consumed,efficiency,steps,jains_index,min_collection_rate,mean_collection_rate,starved_sensors,trajectory_file
SmartGreedyV2,200,200,10,center,100,100,42,3317911.7,30259.0,100.0,2.0,268.5278,112.6833,1391,1.0,97.77,98.88,0,SmartGreedyV2_200x200_n10_center_42.npy
SmartGreedyV2,200,200,10,center,100,100,123,3283427.17,29942.0,100.0,1.97,268.6111,111.4697,1382,0.9999,96.82,98.48,0,SmartGreedyV2_200x200_n10_center_123.npy
SmartGreedyV2,200,200,10,center,100,100,456,3249702.71,29786.0,100.0,2.0,268.5278,110.9226,1381,0.9995,94.86,98.04,0,SmartGreedyV2_200x200_n10_center_456.npy
SmartGreedyV2,200,200,10,center,100,100,789,3352325.97,30614.0,100.0,2.0,268.5278,114.0081,1413,0.9998,96.32,98.48,0,SmartGreedyV2_200x200_n10_center_789.npy
SmartGreedyV2,200,200,10,center,100,100,1337,3273822.59,29836.0,100.0,2.0,268.5278,111.1114,1381,0.9997,94.57,98.2,0,SmartGreedyV2_200x200_n10_center_1337.npy
SmartGreedyV2,200,200,10,corner_00,0,0,42,2365517.12,22022.0,100.0,1.95,268.6667,81.9664,1388,0.9028,30.7,72.12,0,SmartGreedyV2_200x200_n10_corner_00_42.npy
SmartGreedyV2,200,200,10,corner_00,0,0,123,2995621.42,27294.0,100.0,1.96,268.6389,101.6003,1399,0.9502,30.46,88.68,0,SmartGreedyV2_200x200_n10_corner_00_123.npy
SmartGreedyV2,200,200,10,corner_00,0,0,456,2433356.52,22547.0,100.0,1.99,268.5556,83.9549,1390,0.8733,21.46,73.73,0,SmartGreedyV2_200x200_n10_corner_00_456.npy
SmartGreedyV2,200,200,10,corner_00,0,0,789,2665175.91,24569.0,100.0,1.94,268.6944,91.4379,1387,0.882,12.29,80.52,1,SmartGreedyV2_200x200_n10_corner_00_789.npy
SmartGreedyV2,200,200,10,corner_00,0,0,1337,3163954.72,28856.0,100.0,2.0,268.5278,107.4619,1409,0.9891,72.34,93.09,0,SmartGreedyV2_200x200_n10_corner_00_1337.npy
SmartGreedyV2,200,200,10,corner_0G,0,200,42,2478576.33,22911.0,100.0,2.0,268.5278,85.3212,1381,0.8918,12.34,75.41,1,SmartGreedyV2_200x200_n10_corner_0G_42.npy
SmartGreedyV2,200,200,10,corner_0G,0,200,123,3078974.46,28239.0,100.0,1.94,268.6944,105.0976,1405,0.9867,71.54,91.36,0,SmartGreedyV2_200x200_n10_corner_0G_123.npy
SmartGreedyV2,200,200,10,corner_0G,0,200,456,3273418.21,29937.0,100.0,1.94,268.6944,111.4156,1425,0.9977,86.84,95.49,0,SmartGreedyV2_200x200_n10_corner_0G_456.npy
SmartGreedyV2,200,200,10,corner_0G,0,200,789,2738669.06,25127.0,100.0,2.0,268.5278,93.5719,1399,0.9347,31.48,81.64,0,SmartGreedyV2_200x200_n10_corner_0G_789.npy
SmartGreedyV2,200,200,10,corner_0G,0,200,1337,2817509.23,25809.0,100.0,1.97,268.6111,96.0841,1388,0.913,19.44,84.52,1,SmartGreedyV2_200x200_n10_corner_0G_1337.npy
